Rk,Name,Tm,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Pos,FantPt,VBD,PosRank,OvRank
119,Ryan Mathews,SDG,25,12,9,0,0,0,0,0,184,707,3.84,1,56,39,252,6.46,0,RB,98,,31,
120,Andre Brown,NYG,26,10,2,0,0,0,0,0,73,385,5.27,8,17,12,86,7.17,0,RB,97,,32,
121,Antonio Gates,SDG,32,15,15,0,0,0,0,0,0,0,,0,80,49,538,10.98,7,TE,96,,13,
122,Dwayne Bowe,KAN,28,13,12,0,0,0,0,0,0,0,,0,114,59,801,13.58,3,WR,96,,45,
123,Pierre Thomas,NOR,28,15,4,0,0,0,0,0,105,473,4.50,1,53,39,354,9.08,1,RB,95,,33,
124,Brandon LaFell,CAR,26,14,12,0,0,0,0,0,3,35,11.67,0,76,44,677,15.39,4,WR,95,,46,
125,Blaine Gabbert,JAX,23,10,10,162,278,1662,9,6,18,56,3.11,0,0,0,0,,0,QB,94,,32,
126,Martellus Bennett,NYG,25,16,16,0,0,0,0,0,0,0,,0,89,55,626,11.38,5,TE,93,,14,
127,Mark Ingram,NOR,23,16,5,0,0,0,0,0,156,602,3.86,5,10,6,29,4.83,0,RB,93,,34,
128,Felix Jones,DAL,25,16,7,0,0,0,0,0,111,402,3.62,3,36,26,266,10.23,2,RB,93,,35,
129,Darrius Heyward-Bey,OAK,25,15,14,0,0,0,0,0,2,16,8.00,0,80,41,606,14.78,5,WR,92,,47,
130,Scott Chandler,BUF,27,15,13,0,0,0,0,0,0,0,,0,74,43,571,13.28,6,TE,91,,15,
131,Chris Givens,STL,23,15,12,0,0,0,0,0,3,12,4.00,0,80,42,698,16.62,3,WR,91,,49,
132,Jeremy Kerley,NYJ,24,16,7,1,1,42,0,0,5,8,1.60,0,95,56,827,14.77,2,WR,91,,48,
133,Knowshon Moreno,DEN,25,9,6,0,0,0,0,0,139,525,3.78,4,26,21,167,7.95,0,RB,91,,36,
134,Greg Little,CLE,23,16,16,0,0,0,0,0,2,15,7.50,0,94,53,647,12.21,4,WR,90,,50,
135,Jacquizz Rodgers,ATL,22,16,0,0,0,0,0,0,94,362,3.85,1,59,53,402,7.58,1,RB,88,,37,
136,Pierre Garcon,WAS,26,10,10,0,0,0,0,0,2,9,4.50,0,68,44,633,14.39,4,WR,88,,51,
137,Mike Tolbert,CAR,27,16,5,0,0,0,0,0,54,183,3.39,7,39,27,268,9.93,0,RB,87,,38,
138,Hakeem Nicks,NYG,24,13,11,0,0,0,0,0,0,0,,0,100,53,692,13.06,3,WR,87,,52,
139,Nick Foles,PHI,23,7,6,161,265,1699,6,5,11,42,3.82,1,0,0,0,,0,QB,86,,33,
140,Kevin Kolb,ARI,28,6,5,109,183,1169,8,3,16,100,6.25,1,0,0,0,,0,QB,85,,34,
141,Vernon Davis,SFO,28,16,16,0,0,0,0,0,0,0,,0,61,41,548,13.37,5,TE,85,,16,
142,Kendall Wright,TEN,23,15,5,0,0,0,0,0,1,4,4.00,0,104,64,626,9.78,4,WR,85,,53,
143,Brandon Stokley,DEN,36,15,9,0,0,0,0,0,0,0,,0,58,45,544,12.09,5,WR,84,,54,
144,Davone Bess,MIA,27,13,13,0,0,0,0,0,0,0,,0,104,61,778,12.75,1,WR,84,,55,
145,Marcel Reece*,OAK,27,16,14,0,0,0,0,0,59,271,4.59,0,73,52,496,9.54,1,RB,83,,39,
146,Kenny Britt,TEN,24,14,11,0,0,0,0,0,0,0,,0,90,45,589,13.09,4,WR,83,,57,
147,Danny Amendola,STL,27,11,8,0,0,0,0,0,2,8,4.00,0,101,63,666,10.57,3,WR,83,,56,
148,Bilal Powell,NYJ,24,14,2,0,0,0,0,0,110,437,3.97,4,36,17,140,8.24,0,RB,82,,40,
149,Jonathan Dwyer,PIT,23,13,6,0,0,0,0,0,156,623,3.99,2,25,18,106,5.89,0,RB,81,,42,
150,Fred Jackson,BUF,31,10,8,0,0,0,0,0,115,437,3.80,3,42,34,217,6.38,1,RB,81,,41,
151,DeSean Jackson,PHI,26,11,11,0,0,0,0,0,3,-7,-2.33,0,87,45,700,15.56,2,WR,81,,58,
152,Bryce Brown,PHI,21,16,4,0,0,0,0,0,115,564,4.90,4,19,13,56,4.31,0,RB,80,,43,
153,Matt Cassel,KAN,30,9,8,161,277,1796,6,12,27,145,5.37,1,0,0,0,,0,QB,80,,35,
154,Andrew Hawkins,CIN,26,14,2,0,0,0,0,0,6,30,5.00,0,80,51,533,10.45,4,WR,80,,59,
155,Aaron Hernandez,NWE,23,10,10,0,0,0,0,0,1,5,5.00,0,83,51,483,9.47,5,TE,79,,17,
156,Lance Kendricks,STL,24,16,14,0,0,0,0,0,0,0,,0,64,42,519,12.36,4,RB,78,,44,
157,Marcedes Lewis,JAX,28,16,15,0,0,0,0,0,0,0,,0,77,52,540,10.38,4,TE,78,,18,
158,Michael Bush,CHI,28,13,1,0,0,0,0,0,114,411,3.61,5,11,9,83,9.22,0,RB,77,,45,
159,Jermichael Finley,GNB,25,16,14,0,0,0,0,0,0,0,,0,87,61,667,10.93,2,TE,77,,19,
160,Rod Streater,OAK,24,16,2,0,0,0,0,0,0,0,,0,74,39,584,14.97,3,WR,76,,60,
161,Matt Hasselbeck,TEN,37,8,5,138,221,1367,7,5,13,38,2.92,0,0,0,0,,0,QB,76,,36,
